,Image,Label
0,frame0.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
1,frame1.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
2,frame2.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
3,frame3.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
4,frame4.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
5,frame5.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
6,frame6.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
7,frame7.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
8,frame8.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
9,frame9.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
10,frame10.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
11,frame11.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
12,frame12.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
13,frame13.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
14,frame14.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
15,frame15.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
16,frame16.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
17,frame17.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
18,frame18.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
19,frame19.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
20,frame20.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
21,frame21.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
22,frame22.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
23,frame23.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
24,frame24.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
25,frame25.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
26,frame26.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
27,frame27.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
28,frame28.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
29,frame29.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
30,frame30.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
31,frame31.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
32,frame32.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
33,frame33.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
34,frame34.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
35,frame35.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
36,frame36.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
37,frame37.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
38,frame38.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
39,frame39.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
40,frame40.jpg,"{'w': 0, 'k': 0, 'p': 0, 's': 0, 'n': 1}"
